HolderAddress,Balance,PendingBalanceUpdate,,"{""address"":[",,0,,
0xae7861c80d03826837a50b45aecf11ec677f6586,1.00E-18,No,"0x41ebe0c0bb4333e5cf92a9b0d3536eea4ade5c8d,","0x41ebe0c0bb4333e5cf92a9b0d3536eea4ade5c8d,",0x41ebe0c0bb4333e5cf92a9b0d3536eea4ade5c8d,0,,
0x288aaa27e9867b43de811888b96e1ab250798768,1.00E-18,No,"0x084c058bad49a6382090cc5fdab4ab6f64c97349,","0x084c058bad49a6382090cc5fdab4ab6f64c97349,",0x084c058bad49a6382090cc5fdab4ab6f64c97349,0,,
0x6b010eeaf821c6f9fcecc335665c2b6f1527b721,1.00E-18,No,"0x46ce0d7e52323aeccad30b270e2950f27026b289,","0x46ce0d7e52323aeccad30b270e2950f27026b289,",0x46ce0d7e52323aeccad30b270e2950f27026b289,0,,
0xe407c0c6c5deb5a7192b6a3f8ee1d4d3dea500a5,2.00E-18,No,"0x6288863fa528fc0a6e12af521181fd45bdfeb617,","0x6288863fa528fc0a6e12af521181fd45bdfeb617,",0x6288863fa528fc0a6e12af521181fd45bdfeb617,0,,
0x6d9893fa101cd2b1f8d1a12de3189ff7b80fdc10,2.00E-18,No,"0x5cfa0161dea4a5deaa285500dea2e4c79c510313,","0x5cfa0161dea4a5deaa285500dea2e4c79c510313,",0x5cfa0161dea4a5deaa285500dea2e4c79c510313,0,,
0x097df88ddec771c981a3817efd56e5dd7f78da78,2.00E-18,No,"0x002488671dbfe1ba71b296723f0944fd24d3aa15,","0x002488671dbfe1ba71b296723f0944fd24d3aa15,",0x002488671dbfe1ba71b296723f0944fd24d3aa15,0,,
0x966ed2c76c8834d8f6f7c024c911f63fabde1854,2.00E-18,No,"0xef0cdfefadb1f62794794c828a80490c0b6e1546,","0xef0cdfefadb1f62794794c828a80490c0b6e1546,",0xef0cdfefadb1f62794794c828a80490c0b6e1546,0,,
0xcdacb7586ea02f4c981d92715d38c3141dc0e2ad,2.00E-18,No,"0xbb3cce438d8b2dea49bcb22f925020fbc4be4256,","0xbb3cce438d8b2dea49bcb22f925020fbc4be4256,",0xbb3cce438d8b2dea49bcb22f925020fbc4be4256,0,,
0x0000000009a2265b720031d400866266aa6c87be,3.00E-18,No,"0xa4ac2bc6cfb8e0f313f9c822210b44bd9e5fca72,","0xa4ac2bc6cfb8e0f313f9c822210b44bd9e5fca72,",0xa4ac2bc6cfb8e0f313f9c822210b44bd9e5fca72,0,,
0x2b83ac024b0a4ba3f93776cacb61d98310614afe,3.00E-18,No,"0xe2e5b7e477038dd47eb6d6f4e24f0f73a4ef888b,","0xe2e5b7e477038dd47eb6d6f4e24f0f73a4ef888b,",0xe2e5b7e477038dd47eb6d6f4e24f0f73a4ef888b,0,25172.82485,
